Cell	CellType
hv_D10_IVC5_E6_B2_3	C
hv_D10_IVC5_E4_B2_81	C
D10_IVC4_E2_B2_27	C
D10_IVC4_E1_B3_48	C
hv_D10_IVC5_E8_B2_14	C
hm_D10_IVC5_E8_B3_1	C
hm_D10_IVC5_E8_B3_69	C
hv_D10_IVC5_E1_B2_96	C
hv_D10_IVC5_E6_B1_22	C
hv_D10_IVC4_E7_B2_70	C
D10_IVC4_E1_B3_96	C
hm_D10_IVC5_E5_B1_12	C
hm_D10_IVC5_E8_B1_67	C
hv_D10_IVC5_E1_B1_44	C
hm_D10_IVC5_E9_B1_60	C
D10_IVC4_E1_B1_49	C
hv_D10_IVC5_E4_B2_70	C
hv_D10_IVC5_E1_B2_1	C
hv_D10_IVC4_E7_B2_19	C
hv_D10_IVC5_E3_B2_26	C
hm_D10_IVC5_E8_B2_9	C
hv_D10_IVC5_E6_B1_37	C
hv_D10_IVC4_E7_B1_14	C
hm_D10_IVC4_E2_B1_33	C
D10_IVC4_E2_B2_63	C
hv_D10_IVC5_E6_B2_33	C
hv_D10_IVC5_E1_B1_24	C
D10_IVC4_E1_B2_69	C
hv_D10_IVC5_E1_B2_49	C
hv_D10_IVC5_E6_B1_47	C
hv_D10_IVC4_E7_B4_66	C
D10_IVC4_E2_B2_80	C
D10_IVC4_E1_B4_14	C
hv_D10_IVC5_E3_B2_9	C
D10_IVC4_E1_B4_32	C
D10_IVC4_E1_B2_8	C
hv_D10_IVC5_E1_B1_52	C
hm_D10_IVC5_E9_B2_70	C
hv_D10_IVC5_E3_B1_88	C
hv_D10_IVC5_E6_B1_86	C
hv_D10_IVC5_E8_B1_69	C
D10_IVC4_E2_B1_78	C
hv_D10_IVC5_E2_B1_44	C
hv_D10_IVC5_E6_B1_76	C
hv_D10_IVC5_E1_B3_79	C
hm_D10_IVC5_E9_B1_57	C
D10_IVC4_E2_B3_95	C
hv_D10_IVC5_E6_B1_43	C
D10_IVC4_E1_B2_42	C
hv_D10_IVC4_E7_B4_55	C
hv_D10_IVC5_E8_B1_7	C
hv_D10_IVC5_E6_B1_63	C
hv_D10_IVC5_E1_B3_50	C
hm_D10_IVC5_E8_B3_61	C
hm_D10_IVC5_E9_B1_4	C
hm_D10_IVC4_E2_B1_30	C
hv_D10_IVC5_E8_B2_40	C
hv_D10_IVC5_E1_B3_78	C
D10_IVC4_E1_B4_31	C
hv_D10_IVC5_E1_B2_24	C
D10_IVC4_E2_B2_47	C
hm_D10_IVC5_E10_B1_45	C
hv_D10_IVC5_E8_B1_48	C
D10_IVC4_E2_B3_87	C
hv_D10_IVC5_E1_B2_42	C
D12_IVC6_E1_B2_82	C
hv_D12_IVC7_E4_B1_44	C
hv_D12_IVC7_E3_B2_60	C
D12_IVC6_E1_B2_70	C
hv_D12_IVC7_E2_B2_3	C
hv_D12_IVC7_E4_B1_45	C
D12_IVC6_E3_B3_46	C
hv_D12_IVC7_E4_B2_79	C
D12_IVC6_E3_B1_15	C
D12_IVC6_E3_B2_25	C
D12_IVC6_E1_B1_44	C
D12_IVC6_E3_B1_30	C
D12_IVC6_E1_B1_43	C
hv_D12_IVC7_E3_B2_90	C
hv_D12_IVC7_E4_B1_58	C
hv_D12_IVC7_E4_B2_81	C
D12_IVC6_E1_B2_10	C
D12_IVC6_E3_B2_14	C
D12_IVC6_E3_B3_3	C
D12_IVC6_E3_B2_3	C
hv_D12_IVC7_E3_B1_34	C
hv_D12_IVC7_E3_B1_35	C
hv_D12_IVC7_E4_B2_78	C
D12_IVC7_E2_B1_14	C
D12_IVC7_E2_B1_86	C
D12_IVC6_E1_B2_36	C
hv_D14_IVC9_E1_B4_86	C
hv_D14_IVC9_E1_B2_2	C
